Image1	Optimal1	(meta) top alg1	Algs1	Image2	(meta) top alg2	Algs2	Notes	Recognition Notes	Best Alg Notes	Full Case Name	Parents
Boomerang / Diamond											
	4	1,0/-4,-1/-2,1/-3,0/-1,0	1,0/-4,-1/-2,1/-3,0/-1,0 3,-4/4,1/3,0/2,-1/0,1				blockbuild		Keep gem in UFR, send tent from bottom to make scottie/shell.	Gem / Gem	Right Scottie / Shell; Left Scottie / Shell
	4	1,0/2,-1/4,1/-4,-1/0,1	1,0/2,-1/4,1/-4,-1/0,1				break up diamond on top, swap with isolated corner on bottom		Preserve full kite on bottom in DL, put gem directly above isolated corner on bottom (in this case, in UFR/DFR).	Gem / Left Spill	Left Whale / Right Tent
	4	0,-1/-2,1/-4,-1/4,1/-1,0	0,-1/-2,1/-4,-1/4,1/-1,0				break up diamond on top, swap with isolated corner on bottom		Preserve full kite on bottom in DL, put gem directly above isolated corner on bottom (in this case, in UBR/DBR).	Gem / Right Spill	Right Whale / Left Tent
	3	0,-1/1,-2/0,3/-1,0	0,-1/1,-2/0,3/-1,0 0,-1/4,1/-3,0/-1,0				"core case"		Swap gem on top with tent on bottom, "maximally" blockbuild to get tent/tent.	Gem / Right Snoopy	Right Tent / Right Tent
	3	1,0/-3,0/2,-1/0,1	1,0/-3,0/2,-1/0,1 1,0/-4,-1/3,0/0,1				"core case"		Swap gem on top with tent on bottom, "maximally" blockbuild to get tent/tent.	Gem / Left Snoopy	Left Tent / Left Tent
	4	0,-1/-3,0/0,3/1,1/-1,0	0,-1/-3,0/0,3/1,1/-1,0 -2,-3/0,3/0,3/-1,-1/0,1 4,3/3,0/0,3/-1,-1/0,1 6,5/0,-3/0,3/1,1/-1,0				CO -> M2		Do CO into M2; create same plane/plane by pairing white corner from bottom with tent on top.	Gem / Angel	Same Plane / Plane; Right Scottie / Left Bird; Left Scottie / Right Bird
Frying Pans / Paint spills											
	4	0,-1/1,-2/-1,-4/1,4/-1,0	0,-1/1,-2/-1,-4/1,4/-1,0				break up diamond on bottom, swap with isolated corner on top		Preserve full kite on top in UL, put gem directly below isolated corner on top (in this case, UFR/DFR).	Right Spill / Gem	Left Tent / Right Whale
	4	0,-1/3,0/-3,0/1,1/-1,0	0,-1/3,0/-3,0/1,1/-1,0 4,3/0,-3/0,3/-1,-1/0,1				good fpan/fpan, CO -> M2	Good spill/spill; swapping spills breaks squareshape.	Do CO into M2, make plane/plane with tent on top connecting with whale from bottom.	Right Spill / Left Spill	Same Plane / Plane; Left Scottie / Shell
	5	0,-1/-3,0/-2,-2/2,-1/-3,0/0,1	0,-1/-3,0/-2,-2/2,-1/-3,0/0,1 6,-1/-5,1/-4,-1/3,0/4,1/-1,0 6,-1/-2,1/-1,-4/0,-3/1,4/-1,0				bad fpan/fpan, swap isolated edge with isolated corner	Bad spill/spill; swapping spills preserves squareshape.	Preserve full kite on bottom in DL, swap isolated edge on top with isolated corner on bottom to make scottie/bird.	Right Spill / Right Spill	Left Scottie / Left Bird; Left Whale / Left Tent; Left Baron / Right Dish
	3	1,0/3,0/-4,-1/0,1	1,0/3,0/-4,-1/0,1				good fpan/hammer, pair up edges on top with CE pair on bottom	Good spill/snoopy; tent from spill can't exactly swap with tent from snoopy.	Swap only corner from spill on top with tent on bottom to make dish/dish.	Right Spill / Right Snoopy	Right Dish / Right Dish
	4	0,-1/1,1/3,0/2,-1/0,1	0,-1/1,1/3,0/2,-1/0,1 0,-1/1,1/2,-1/3,0/0,1 1,0/-1,-1/3,0/3,0/0,1 1,0/-4,-1/-3,0/-3,0/0,1				bad fpan/hammer, blockbuild to 3-2 or CO	Bad spill/snoopy; tent from spill can exactly swap with tent from snoopy.	Keep spill fully in UL, pair edge from spill with tent to make scottie/shell.	Right Spill / Left Snoopy	Left Scottie / Shell; Left Pinwheel / Left Kite; Left Snoopy / Gem; Left Tent / Right Whale
