Image1	Optimal1	(meta) top alg1	Algs1	Image2	(meta) top alg2	Algs2	Recognition Notes	Best Alg Notes	Full Case Name	Parents
Thumbs / Dishes										
	5	0,-1/1,1/2,-1/-2,1/3,0/-1,0	0,-1/1,1/2,-1/-2,1/3,0/-1,0 1,0/-1,-1/3,0/-2,1/3,0/-1,0				Bad thumbs; thumbs are mirrors of each other, or making a kite on one face forms tree on the other.	Keep bottom shell in DL, swap 2 edges on top with isolated corner on bottom to form good birds.	Left Thumb / Right Thumb	Right Bird / Left Bird; Right Kite / Tree; Tie / Left Kite; Squid / Right Axe; Right Whale / Right Tent; Left Whale / Left Tent; Right Scottie / Hazard; Right Spill / Left Spill; Left Axe / Squid
	2	1,0/-4,-1/0,1	1,0/-4,-1/0,1 -5,6/-1,-4/0,1				Good thumbs; thumbs are the same as each other, or making a kite on one face makes a kite on the other face.	Keep bottom shell in DL, pair gem on top with isolated corner on bottom to form good kites.	Left Thumb / Left Thumb	Left Kite / Left Kite
	4	0,-1/0,-3/0,3/1,4/-1,0	0,-1/0,-3/0,3/1,4/-1,0 6,5/-3,0/0,3/4,1/-1,0 3,5/3,0/0,-3/1,4/-1,0				"Breaking" thumb/bunny; putting slice between shell and gem on top and preserving tents on bottom breaks squareshape.	Put shell of thumb in UL and align so slice breaks gem, preserve both tents in DL (goes to good bird/scottie).	Left Thumb / Right Bunny	Right Bird / Left Scottie; Left Axe / Left Spill
	4	1,0/-1,-4/-5,1/3,0/-1,0	1,0/-1,-4/-5,1/3,0/-1,0 1,0/3,0/-4,2/4,1/-1,0				"Preserving" thumb/bunny; putting slice between shell and gem on top and preserving tents on bottom preserves squareshape.	Put shell of thumb in UL and align so slice preserves gem, swap gem with isolated corner on bottom.	Left Thumb / Left Bunny	Left Whale / Left Whale
	2	0,-1/4,1/-1,0	0,-1/4,1/-1,0 6,5/-1,-4/-1,0				Good thumbs; thumbs are the same as each other, or making a kite on one face makes a kite on the other face.	Keep bottom shell in DL, pair gem on top with isolated corner on bottom to form good kites.	Right Thumb / Right Thumb	Right Kite / Right Kite
	5	1,0/-1,-1/-2,1/2,-1/-3,0/0,1	1,0/-1,-1/-2,1/2,-1/-3,0/0,1 0,-1/1,1/-3,0/2,-1/-3,0/0,1				Bad thumbs; thumbs are mirrors of each other, or making a kite on one face forms tree on the other	Keep bottom shell in DL, swap 2 edges on top with isolated corner on bottom to form good birds.	Right Thumb / Left Thumb	Left Bird / Right Bird; Left Kite / Tree; Tie / Right Kite; Squid / Left Axe; Left Whale / Left Tent; Right Whale / Right Tent; Left Scottie / Hazard; Left Spill / Right Spill; Right Axe / Squid
	4	0,-1/1,4/5,-1/-3,0/0,1	0,-1/1,4/5,-1/-3,0/0,1 0,-1/-3,0/4,-2/-4,-1/0,1 0,-1/-3,0/-2,4/-1,-4/0,1				"Preserving" thumb/bunny; putting slice between shell and gem on top and preserving tents on bottom preserves squareshape.	Put shell of thumb in UL and align so slice preserves gem, swap gem with isolated corner on bottom.	Right Thumb / Right Bunny	Right Whale / Right Whale
	4	1,0/0,3/0,-3/-1,-4/0,1	1,0/0,3/0,-3/-1,-4/0,1 -5,6/3,0/0,-3/-4,-1/0,1 -2,6/-3,0/0,3/-1,-4/0,1				"Breaking" thumb/bunny; putting slice between shell and gem on top and preserving tents on bottom breaks squareshape.	Put shell of thumb in UL and align so slice breaks gem, preserve both tents in DL (goes to good bird/scottie).	Right Thumb / Left Bunny	Left Bird / Right Scottie; Right Axe / Right Spill
Dabs / Bunnies										
	4	1,0/3,0/-3,0/-4,-1/0,1	1,0/3,0/-3,0/-4,-1/0,1				"Breaking" bunny/thumb; preserving tents on top and putting slice between shell and gem on bottom breaks squareshape.	Put shell of thumb in DL and align so slice breaks gem, preserve both tents in UL (goes to scottie/bird).	Left Bunny / Right Thumb	Right Scottie / Left Bird; Right Spill / Right Axe
	4	1,0/-4,-1/-5,1/3,0/-1,0	1,0/-4,-1/-5,1/3,0/-1,0				"Preserving" bunny/thumb; preserving tents on top and putting slice between shell and gem on bottom preserves squareshape.	Put shell of thumb in DL and align so slice preserves gem, swap isolated corner on top with gem.	Left Bunny / Left Thumb	Left Whale / Left Whale
	5	1,0/2,2/0,-3/3,0/1,4/-1,0	1,0/2,2/0,-3/3,0/1,4/-1,0 1,0/2,-1/0,3/-3,0/4,1/-1,0 0,-1/-2,-2/3,0/0,-3/-4,-1/0,1 0,-1/1,-2/-3,0/0,3/-1,-4/0,1				Bad bunnies; preserving tents breaks cubeshape.	Put all 4 tents on right half of puzzle and slice with either alignment into m2; goes to preserving bunny/thumb or preserving thumb/bunny.	Left Bunny / Right Bunny	Right Bunny / Left Thumb; Right Thumb / Left Bunny; Tie / Left Cut; Left Axe / Squid; Tree / Right Cut; Left Scottie / Hazard
	3	1,0/3,-3/-4,-1/0,1	1,0/3,-3/-4,-1/0,1 1,0/-3,3/-1,-4/0,1 -5,6/3,-3/5,2/0,1 -5,6/-3,3/2,5/0,1		1,0/-3,3/-4,-1/0,1	1,0/-3,3/-4,-1/0,1 1,0/3,-3/-1,-4/0,1 -5,6/-3,3/5,2/0,1 -5,6/3,-3/2,5/0,1	Good bunnies; preserving tents preserves cubeshape.	Put all 4 tents on right half of puzzle and swap them to get good thumbs.	Left Bunny / Left Bunny	Left Thumb / Left Thumb
	4	0,-1/4,1/5,-1/-3,0/0,1	0,-1/4,1/5,-1/-3,0/0,1 0,-1/0,-3/4,-2/-4,-1/0,1				"Preserving" bunny/thumb; preserving tents on top and putting slice between shell and gem on bottom preserves squareshape.	Put shell of thumb in DL and align so slice preserves gem, swap isolated corner on top with gem.	Right Bunny / Right Thumb	Right Whale / Right Whale
	4	0,-1/-3,0/3,0/4,1/-1,0	0,-1/-3,0/3,0/4,1/-1,0				"Breaking" bunny/thumb; preserving tents on top and putting slice between shell and gem on bottom breaks squareshape.	Put shell of thumb in DL and align so slice breaks gem, preserve both tents in UL (goes to scottie/bird).	Right Bunny / Left Thumb	Left Scottie / Right Bird; Left Spill / Left Axe
	3	0,-1/-3,3/4,1/-1,0	0,-1/-3,3/4,1/-1,0 0,-1/3,-3/1,4/-1,0 6,5/-3,3/-5,-2/-1,0 6,5/3,-3/-2,-5/-1,0		0,-1/3,-3/4,1/-1,0	0,-1/3,-3/4,1/-1,0 0,-1/-3,3/1,4/-1,0 6,5/3,-3/-5,-2/-1,0 6,5/-3,3/-2,-5/-1,0	Good bunnies; preserving tents preserves cubeshape.	Put all 4 tents on right half of puzzle and swap them to get good thumbs.	Right Bunny / Right Bunny	Right Thumb / Right Thumb
	5	1,0/2,2/-3,0/0,3/4,1/-1,0	1,0/2,2/-3,0/0,3/4,1/-1,0 1,0/-1,2/3,0/0,-3/1,4/-1,0 0,-1/-2,-2/0,3/-3,0/-1,-4/0,1 0,-1/-2,1/0,-3/3,0/-4,-1/0,1				Bad bunnies; preserving tents breaks cubeshape.	Dabs / Bunnies	Right Bunny / Left Bunny	Left Bunny / Right Thumb; Left Thumb / Right Bunny; Tie / Right Cut; Right Axe / Squid; Tree / Left Cut; Right Scottie / Hazard
