Image1	Optimal1	(meta) top alg1	Algs1	Image2	(meta) top alg2	Algs2	Notes	Recognition Notes	Best Alg Notes	Full Case Name	Parents
Line/Shell											
	4	0,-1/4,1/-1,2/6,3/0,1	0,-1/4,1/-1,2/6,3/0,1 -5,0/-4,-1/1,-2/6,-3/-1,0 -5,0/-4,-1/4,1/3,6/-1,0		0,-1/4,1/-1,2/0,-3/0,1	0,-1/4,1/-1,2/0,-3/0,1 0,-1/4,1/-4,-1/3,0/0,1 -5,0/-4,-1/1,-2/0,3/-1,0 -5,0/-4,-1/4,1/-3,0/-1,0	preserve line on bottom, split pair from top to join it		preserve shell on bottom; send tent from top to form gem/snoopy	Shell / Shell	Gem / Left Snoopy; Gem / Right Snoopy
	4	1,0/-1,2/1,4/2,5/0,1	1,0/-1,2/1,4/2,5/0,1 -5,6/2,-1/1,4/5,2/0,1 -3,-4/0,-3/1,4/5,2/0,1 3,2/-3,0/1,4/2,5/0,1		1,0/-1,2/1,4/-4,-1/0,1	1,0/-1,2/1,4/-4,-1/0,1 -5,6/2,-1/1,4/-1,-4/0,1 -3,-4/0,-3/1,4/-1,-4/0,1 3,2/-3,0/1,4/-4,-1/0,1	swap pair from top with full bird on bottom		swap tent from top with full bird on bottom	Shell / Right Bird	Left Whale / Right Tent
	4	0,-1/1,-2/-1,-4/-2,-5/-1,0	0,-1/1,-2/-1,-4/-2,-5/-1,0 6,5/-2,1/-1,-4/-5,-2/-1,0 4,3/0,3/-1,-4/-5,-2/-1,0 -2,-3/3,0/-1,-4/-2,-5/-1,0		0,-1/1,-2/-1,-4/4,1/-1,0	0,-1/1,-2/-1,-4/4,1/-1,0 6,5/-2,1/-1,-4/1,4/-1,0 4,3/0,3/-1,-4/1,4/-1,0 -2,-3/3,0/-1,-4/4,1/-1,0	swap pair from top with full bird on bottom		swap tent from top with full bird on bottom	Shell / Left Bird	Right Whale / Left Tent
	4	1,0/-1,2/0,-3/-5,-2/-1,0	1,0/-1,2/0,-3/-5,-2/-1,0 0,5/1,-2/0,3/5,2/0,1		1,0/-1,2/0,-3/1,4/-1,0	1,0/-1,2/0,-3/1,4/-1,0 0,5/1,-2/0,3/-1,-4/0,1	preserve line on top, send isolated pair from bottom to join it		preserve shell on top, send tent from bottom to form good snoopy/spill	Shell / Hazard	Left Snoopy / Left Spill; Right Snoopy / Right Spill; Same Moth / Moth
Birds											
	4	1,0/3,0/-4,-1/-2,-5/-1,0	1,0/3,0/-4,-1/-2,-5/-1,0 -3,-4/-2,1/-4,-1/-5,-2/-1,0 3,2/1,-2/-4,-1/-2,-5/-1,0		1,0/3,0/-4,-1/4,1/-1,0	1,0/3,0/-4,-1/4,1/-1,0 -3,-4/-2,1/-4,-1/1,4/-1,0 3,2/1,-2/-4,-1/4,1/-1,0	send diamond from top, preserve line on bottom in left		preserve shell on bottom, pair with gem on top to form whale/tent	Left Bird / Shell	Right Whale / Left Tent
	4	1,0/-3,0/2,-1/-3,0/0,1	1,0/-3,0/2,-1/-3,0/0,1 -5,6/0,-3/2,-1/0,-3/0,1		1,0/-3,0/2,-1/3,6/0,1	1,0/-3,0/2,-1/3,6/0,1 -5,6/0,-3/2,-1/6,3/0,1	"aligned" bird/bird; swap corner on top (aligned next to slice) with full bird on bottom	"good" bird/bird; preserving both halves breaks squareshape	preserve half on bottom, send isolated corner (aligned next to slice) to form snoopy/gem	Left Bird / Right Bird	Left Snoopy / Gem; Same Moth / Moth
	5	0,-1/3,0/1,1/-4,-1/-3,0/0,1	0,-1/3,0/1,1/-4,-1/-3,0/0,1 0,-1/4,1/-1,-1/-3,0/-3,0/0,1 -5,0/-3,0/-1,-1/3,0/3,0/0,1 -5,0/-3,0/2,-1/-3,0/-3,0/0,1 -5,0/-4,-1/1,1/2,-1/3,0/0,1 -5,0/-4,-1/1,1/3,0/2,-1/0,1		0,-1/0,3/1,1/3,0/2,-1/0,1	0,-1/0,3/1,1/3,0/2,-1/0,1 6,5/3,0/1,1/-4,-1/3,6/0,1 -5,0/0,-3/-1,-1/-3,0/-3,0/0,1	"misaligned" bird/bird; swap corner on top (separated from slice) with full bird on bottom	"bad" bird/bird; preserving both halves preserves squareshape	preserve half on bottom, send isolated corner (aligned away from slice) to form snoopy/spill	Left Bird / Left Bird	Left Snoopy / Right Spill; Left Whale / Left Tent; Left Baron / Right Dish
	4	0,-1/3,0/4,1/5,2/0,1	0,-1/3,0/4,1/5,2/0,1 6,5/0,3/4,1/2,5/0,1		0,-1/3,0/4,1/-1,-4/0,1	0,-1/3,0/4,1/-1,-4/0,1 6,5/0,3/4,1/-4,-1/0,1	swap full bird on top with 2 pieces from bottom		preserve half on top, swap isolated edge with whale on bottom to form good tent/whale	Left Bird / Hazard	Right Tent / Left Whale
