Image	Optimal	(meta) top alg	Algs	Image	(meta) top alg	Algs	Recognition Notes	Best Alg Notes	Full Case Name	Parents
Kites/Halves										
	5	0,-1/-2,1/-4,-1/-2,1/-3,0/-1,0	0,-1/-2,1/-4,-1/-2,1/-3,0/-1,0 0,-1/-2,1/-4,-1/-3,0/-2,-1/-1,0		samecase	samecase	Bad kite/kite; not the 1-slicer.	Preserve kite on bottom, send single corner to bottom to form gem/gem.	Right Kite / Left Kite	Gem / Gem; Shell / Shell
	1	1,0/-1,0	1,0/-1,0		samecase	samecase	Good kite/kite; it's a 1-slicer :)	Preserve everything :)	Right Kite / Right Kite	
	3	1,0/-1,-1/0,-3/0,1	1,0/-1,-1/0,-3/0,1		samecase	samecase	Good kite/cut; aligning kite with bird breaks squareshape.	Preserve kite on top, pair with whale from bottom to get tent/tent.	Right Kite / Left Cut	Left Tent / Left Tent; Left Thumb / Left Thumb
	6	1,0/0,-3/-3,0/2,-1/-2,1/3,0/-1,0	1,0/0,-3/-3,0/2,-1/-2,1/3,0/-1,0		samecase	samecase	Bad kite/cut; aligning kite with bird preserves squareshape.	Solve CO into 1e/1e.	Right Kite / Right Cut	1E / 1E; 3E / 3E; 1C / 1C; 3C / 3C; Right Axe / Right Axe; Left Spill / Left Spill; Right Bird / Right Bird; Right Scottie / Right Scottie
	4	1,0/2,-1/-2,1/-3,6/-1,0	1,0/2,-1/-2,1/-3,6/-1,0 -5,6/-1,2/-2,1/6,-3/-1,0 -5,6/5,-4/1,-2/0,3/-1,0		1,0/2,-1/-2,1/3,0/-1,0	1,0/2,-1/-2,1/3,0/-1,0		Send tent on top to pair with shell on bottom to form axe/gem.	Right Kite / Tree	Right Axe / Gem; Left Spill / Left Axe
	1	0,-1/0,1	0,-1/0,1		samecase	samecase	Good kite/kite; it's a 1-slicer :)	Preserve everything :)	Left Kite / Left Kite	
	5	1,0/0,3/-4,-1/-2,1/-3,0/-1,0	1,0/0,3/-4,-1/-2,1/-3,0/-1,0 1,0/0,3/-4,-1/-3,0/-2,1/-1,0 1,0/2,-1/4,1/3,0/2,-1/0,1 1,0/2,-1/4,1/2,-1/3,0/0,1		samecase	samecase	Bad kite/kite; not the 1-slicer.	Preserve kite on bottom, send single corner to bottom to form gem/gem.	Left Kite / Right Kite	Gem / Gem; Shell / Shell
	6	0,-1/1,-2/-3,0/2,-1/-2,1/3,0/-1,0	0,-1/1,-2/-3,0/2,-1/-2,1/3,0/-1,0		samecase	samecase	Bad kite/cut; aligning kite with bird preserves squareshape.	Solve CO into 1e/1e.	Left Kite / Left Cut	1E / 1E; 3E / 3E; 1C / 1C; 3C / 3C; Left Axe / Left Axe; Right Spill / Right Spill; Left Bird / Left Bird; Left Scottie / Left Scottie
	3	0,-1/1,1/0,3/-1,0	0,-1/1,1/0,3/-1,0		samecase	samecase	Good kite/cut; aligning kite with bird breaks squareshape.	Preserve kite on top, pair with whale from bottom to get tent/tent.	Left Kite / Right Cut	Right Tent / Right Tent; Right Thumb / Right Thumb
	4	0,-1/-2,1/2,-1/3,6/0,1	0,-1/-2,1/2,-1/3,6/0,1 6,5/1,-2/2,-1/6,3/0,1 6,5/-5,4/-1,2/0,-3/0,1 6,5/-5,4/-3,0/2,-1/0,1		0,-1/-2,1/2,-1/-3,0/0,1	0,-1/-2,1/2,-1/-3,0/0,1		Send tent on top to pair with shell on bottom to form axe/gem.	Left Kite / Tree	Left Axe / Gem; Right Spill / Right Axe
Awkwards / Zero's										
	6	0,-1/3,0/-3,0/-2,-2/2,-1/-3,0/0,1	0,-1/3,0/-3,0/-2,-2/2,-1/-3,0/0,1 -3,-1/-2,4/3,0/-4,-1/4,1/-3,0/-1,0		samecase	samecase	Bad cut/kite; aligning bird with kite preserves squareshape.	Preserve kite on bottom, send isolated corner to form bad spill/spill.	Left Cut / Left Kite	Right Spill / Right Spill; Left Bird / Left Bird; 1E / 1E; 3E / 3E; 1C / 1C; 3C / 3C; Left Axe / Left Axe; Left Scottie / Left Scottie
	3	1,0/-1,-1/-3,0/0,1	1,0/-1,-1/-3,0/0,1		samecase	samecase	Good cut/kite; aligning bird with kite breaks squareshape.	Preserve kite on bottom, send whale to form tent/tent.	Left Cut / Right Kite	Left Tent / Left Tent; Left Thumb / Left Thumb
