Image1	Optimal1	(meta) top alg1	Algs1	Image2	(meta) top alg2	Algs2	Recognition Notes	Best Alg Notes	Full Case Name	Parents
Kites/Halves										
	3	1,0/0,3/0,3/-1,0	1,0/0,3/0,3/-1,0 1,3/0,-3/0,-3/-1,0		samecase	samecase	Good kite/pinwheel - aligning blocks to slice preserves squareshape.	CO case; preserve blocks.	Right Kite / Right Pinwheel	Right Tent / Right Tent
	4	0,-1/1,-5/2,-1/-3,0/0,1	0,-1/1,-5/2,-1/-3,0/0,1		samecase	samecase	Bad kite/pinwheel - aligning blocks to slice breaks squareshape.	Pair edge on top with tent on bottom to form axe/gem.	Right Kite / Left Pinwheel	Gem / Left Axe; Left Scottie / Shell; Right Whale / Left Tent; Tree / Tie
	4	1,0/-1,2/1,-2/-3,0/-1,0	1,0/-1,2/1,-2/-3,0/-1,0 1,0/-1,2/4,1/3,0/-1,0 -5,6/2,-1/1,-2/0,-3/-1,0 -5,6/2,-1/4,1/0,3/-1,0 6,-1/-3,0/0,3/-5,-2/-1,0 0,5/0,-3/0,3/-2,-5/-1,0		1,0/-1,2/1,-2/3,6/-1,0	1,0/-1,2/1,-2/3,6/-1,0 1,0/-1,2/4,1/-3,6/-1,0 -5,6/2,-1/1,-2/6,3/-1,0 -5,6/2,-1/4,1/6,-3/-1,0 6,-1/-3,0/0,3/1,4/-1,0 0,5/0,-3/0,3/4,1/-1,0		Preserve gem on bottom and pair tent from top to form scottie/shell.	Right Kite / Tie	Right Scottie / Shell; Left Bird / Left Scottie
	4	1,0/-1,5/-2,1/3,0/-1,0	1,0/-1,5/-2,1/3,0/-1,0		samecase	samecase	Bad kite/pinwheel - aligning blocks to slice breaks squareshape.	Pair edge on top with tent on bottom to form axe/gem.	Left Kite / Right Pinwheel	Gem / Right Axe; Right Scottie / Shell; Left Whale / Right Tent; Tree / Tie
	3	0,-1/0,3/0,3/0,1	0,-1/0,3/0,3/0,1 0,2/0,-3/0,-3/0,1		samecase	samecase	Good kite/pinwheel - aligning blocks to slice preserves squareshape.	CO case; preserve blocks.	Left Kite / Left Pinwheel	Left Tent / Left Tent
	4	0,-1/1,-2/-1,2/3,0/0,1	0,-1/1,-2/-1,2/3,0/0,1 0,-1/1,-2/0,3/2,-1/0,1 6,5/-2,1/-1,2/0,3/0,1 6,5/-2,1/0,3/-1,2/0,1 -5,0/3,0/0,-3/5,2/0,1 1,6/0,3/0,-3/2,5/0,1		0,-1/1,-2/-1,2/-3,6/0,1	0,-1/1,-2/-1,2/-3,6/0,1 0,-1/1,-2/0,3/-4,5/0,1 6,5/-2,1/-1,2/6,-3/0,1 6,5/-2,1/0,3/5,-4/0,1 -5,0/3,0/0,-3/-1,-4/0,1 1,6/0,3/0,-3/-4,-1/0,1		Preserve gem on bottom and pair tent from top to form scottie/shell.	Left Kite / Tie	Left Scottie / Shell; Left Bird / Right Scottie
Awkwards / Zero's										
	5	0,-1/-2,4/3,0/2,-1/4,1/-1,0	0,-1/-2,4/3,0/2,-1/4,1/-1,0 0,2/-2,4/0,3/-1,2/1,4/-1,0		samecase	samecase	Bad cut/pinwheel - aligning blocks to slice breaks squareshape.	Preserve bird on top and hold any angle on bottom to go to squid/axe.	Left Cut / Right Pinwheel	Squid / Right Axe
	4	1,0/-1,-4/-3,3/4,1/-1,0	1,0/-1,-4/-3,3/4,1/-1,0 1,3/-4,-1/-3,3/-5,-2/-1,0 0,-1/-3,3/1,1/2,-1/0,3/0,1 0,2/-3,3/1,1/-4,-1/-3,0/0,1		samecase	samecase	Good cut/pinwheel - aligning blocks to slice preserves squareshape.	Intentionally misalign both faces' blocks to go to good bunnies.	Left Cut / Left Pinwheel	Right Bunny / Right Bunny
	4	0,-1/1,4/0,-3/-4,-1/0,1	0,-1/1,4/0,-3/-4,-1/0,1 6,5/4,1/0,-3/-1,-4/0,1 3,-4/-2,4/-3,0/3,0/-4,5/0,1 -3,2/3,-3/3,0/-2,1/-3,0/-1,0		0,-1/-5,-2/-3,0/-4,-1/0,1	0,-1/-5,-2/-3,0/-4,-1/0,1 0,-1/1,4/0,-3/2,5/0,1 6,5/4,1/0,-3/5,2/0,1 3,-4/-2,4/-3,0/3,0/2,-1/0,1 3,-4/-3,3/3,0/1,-2/-3,0/-1,0		Pair isolated corner on top with tent on bottom (breaking gem) to form good scottie/bird.	Left Cut / Tie	Right Scottie / Left Bird
	4	0,-1/1,4/-3,3/-1,-4/0,1	0,-1/1,4/-3,3/-1,-4/0,1 0,-1/1,4/3,-3/-4,-1/0,1 0,2/4,1/-3,3/2,5/0,1 1,0/-3,3/-1,-1/-2,1/-3,0/-1,0 1,3/-3,3/-1,-1/1,-2/0,-3/-1,0		samecase	samecase	Good cut/pinwheel - aligning blocks to slice preserves cubeshape.	Intentionally align both faces' blocks to go to good bunnies.	Right Cut / Right Pinwheel	Left Bunny / Left Bunny
	5	1,0/2,-4/-3,0/-2,1/-4,-1/0,1	1,0/2,-4/-3,0/-2,1/-4,-1/0,1 1,0/-4,2/0,-3/-2,1/-1,-4/0,1 1,3/-4,2/-3,0/1,-2/-4,-1/0,1 1,3/2,-4/0,-3/1,-2/-1,-4/0,1		samecase	samecase	Bad cut/pinwheel - aligning blocks to slice breaks cubeshape.	Preserve bird on tap and hold any angle on bottom to go to squid/axe or axe/squid.	Right Cut / Left Pinwheel	Squid / Left Axe
	4	1,0/-1,-4/0,3/4,1/-1,0	1,0/-1,-4/0,3/4,1/-1,0 -5,6/-4,-1/0,3/1,4/-1,0 -2,3/-3,3/0,-3/-1,2/6,-3/0,1 4,-3/-3,3/-3,0/2,-1/3,0/0,1		1,0/5,2/3,0/4,1/-1,0	1,0/5,2/3,0/4,1/-1,0 1,0/-1,-4/0,3/-2,-5/-1,0 -5,6/-4,-1/0,3/-5,-2/-1,0 -2,3/-3,3/0,-3/-1,2/0,3/0,1 -2,3/2,-4/3,0/-2,1/-3,0/-1,0 -2,3/3,-3/-3,0/-4,-1/-3,0/0,1		Pair isolated corner on top with tent on bottom (breaking gem) to form good scottie/bird.	Right Cut / Tie	Left Scottie / Right Bird
T's/Trees										
