Image	Optimal	(meta) top alg	Algs	Image	(meta) top alg	Algs	Recognition Notes	Best Alg Notes	Full Case Name	Parents
EO										
	5	1,0/-3,0/2,-1/-2,1/3,0/-1,0	1,0/-3,0/2,-1/-2,1/3,0/-1,0 1,0/3,0/3,0/-1,-1/-2,1/-3,0/-1,0		1,0/-3,0/-1,2/-2,1/0,3/-1,0	1,0/-3,0/-1,2/-2,1/0,3/-1,0		Put bad edges in UR and DB; U-layer moves alternate.	1E / 1E	Right Kite / Tree; Shell / Shell; Shell / Left Bird
	2	1,0/-1,-1/0,1	1,0/-1,-1/0,1 0,-1/1,1/-1,0					Hold edges in FB.	Eopp / Eopp	Left Kite / Left Kite
	4	1,0/3,0/-1,-1/-3,0/0,1	1,0/3,0/-1,-1/-3,0/0,1					Hold edges next to slice in front, keeping the pairs together.	Eadj / Eadj	Left Cut / Right Kite
	5	0,-1/3,0/-3,0/3,0/-2,1/-1,0	0,-1/3,0/-3,0/3,0/-2,1/-1,0 0,-1/3,0/-3,0/1,-2/0,3/-1,0 0,-1/3,0/-3,0/1,1/3,0/-3,0/-1,0		1,0/0,-3/3,0/2,-1/0,-3/0,1	1,0/0,-3/3,0/2,-1/0,-3/0,1		Hold edges in U FB, and D FR; split the adjacent edges on bottom.	Eopp / Eadj	T / Right Kite; Left Bird / Shell; Left Cut / T; Hazard / Right Bird
	5	1,0/2,-1/-2,1/2,-1/-3,0/0,1	1,0/2,-1/-2,1/2,-1/-3,0/0,1 1,0/0,-3/0,3/2,-1/-3,0/0,1 -5,0/3,0/3,0/-1,-1/-2,1/-4,-1/0,1		0,-1/3,0/0,-3/1,-2/3,0/-1,0	0,-1/3,0/0,-3/1,-2/3,0/-1,0		Hold edges in U FR, and D FB; split the adjacent edges on top.	Eadj / Eopp	Left Kite / Tree; Shell / Right Bird; Tree / Right Cut; Left Bird / Hazard
	5	1,0/-1,-4/1,4/3,0/-4,-1/0,1	1,0/-1,-4/1,4/3,0/-4,-1/0,1 1,0/3,0/3,0/-1,-1/-3,0/-3,0/-1,0 -2,0/-3,0/-3,0/-1,-1/3,0/3,0/0,1		0,-1/4,1/0,-3/-1,-4/4,1/-1,0	0,-1/4,1/0,-3/-1,-4/4,1/-1,0 -5,0/-4,-1/0,3/1,4/-4,-1/0,1 0,-5/4,1/-1,-4/0,-3/4,1/-1,0		Hold edges in U LFR, and D FRB; misalign D layer.	3E / 3E	Left Cut / Tree; Hazard / Left Bird
	4	1,0/-1,-1/-2,4/-1,-1/0,1	1,0/-1,-1/-2,4/-1,-1/0,1		1,0/2,2/-3,3/-2,-2/-1,0	1,0/2,2/-3,3/-2,-2/-1,0		Do M2 into M2.	4E / 4E	Left Cut / Left Cut
Pure CO										
	5	0,-1/-3,0/1,-2/-1,2/3,0/0,1	0,-1/-3,0/1,-2/-1,2/3,0/0,1 -3,-1/4,1/-4,-1/-2,1/-3,0/-1,0 1,-3/-3,0/-4,-1/4,1/3,0/-1,0		0,-1/-3,0/-2,1/-1,2/0,3/0,1	0,-1/-3,0/-2,1/-1,2/0,3/0,1		Put bad corners in UFR and DBL, align slice next to D corner.	1C / 1C	Left Kite / Tie; Gem / Left Spill; Gem / Gem
	2	1,0/2,2/0,1	1,0/2,2/0,1 3,2/-2,-2/-1,0		1,0/-4,-4/0,1	1,0/-4,-4/0,1 3,2/4,4/-1,0		m2; preserve gems on both sides.	Copp / Copp	Left Kite / Left Kite
	4	1,0/-3,0/-1,-1/-3,0/0,1	1,0/-3,0/-1,-1/-3,0/0,1					Hold corners next to slice in front, keeping them together.	Cadj / Cadj	Left Cut / Left Cut
	5	1,0/3,0/-3,0/2,-1/0,3/0,1	1,0/3,0/-3,0/2,-1/0,3/0,1		0,-1/0,-3/3,0/1,-2/0,-3/-1,0	0,-1/0,-3/3,0/1,-2/0,-3/-1,0		Put isolated corner against slice in UFR, and D corners in DF.	Copp / Cadj	Tie / Left Kite; Tie / Left Cut; Right Spill / Gem; Squid / Right Spill
	5	0,-1/0,-3/0,3/1,-2/-3,0/-1,0	0,-1/0,-3/0,3/1,-2/-3,0/-1,0		1,0/3,0/0,-3/2,-1/3,0/0,1	1,0/3,0/0,-3/2,-1/3,0/0,1		Put U corners in UF, and put an isolated corner against slice in DFR.	Cadj / Copp	Right Kite / Tie; Right Cut / Tie; Gem / Left Spill; Left Spill / Squid
	5	0,-1/4,1/0,3/-1,-4/4,1/-1,0	0,-1/4,1/0,3/-1,-4/4,1/-1,0 5,0/-4,-1/1,4/0,-3/-4,-1/0,1 6,5/1,4/0,3/-4,-1/-2,-5/-1,0 2,0/3,0/3,0/2,2/-3,0/-3,0/0,1		0,-1/4,1/0,3/-1,-4/-2,-5/-1,0	0,-1/4,1/0,3/-1,-4/-2,-5/-1,0 5,0/-4,-1/1,4/0,-3/2,5/0,1 6,5/1,4/0,3/-4,-1/4,1/-1,0 -2,0/3,0/3,0/-1,-4/-3,0/-3,0/0,1		Put gems in FR, misalign D layer.	3C / 3C	Squid / Left Spill; Tie / Left Cut
